Trial_ID,Trial Number/Name,Paper Name,Journal,Paper Link,Publication Year,# of Arm,Control Group,Study Phase,Sample Size,Priamry Outcome,Primary Outcome Type,Trial Success(Primary Outcome Significant),Statistical Model,Randomization Scheme,Randomization Scheme(High Level),Research Area,Citation,Number of Rows,Is Longitudinal
12,NCT03718832,"Effect of an Intensive Food-as-Medicine Program
on Health and Health Care Use",JAMA internal medicine,doi:10.1001/jamainternmed.2023.6670,2024,2,Waitlist,Not Applicable,349,Hemoglobin A1c (HbA1c) level at 6 months from enrollment,Continuous,No,"Primary and secondary outcomes:

Mixed-effects models (longitudinal models) for laboratory test results and health care use outcomes
Linear regression models for program engagement and survey outcomes at 6 and 12 months
Models included heteroskedasticity-robust, participant-clustered standard errors
Multiple imputation for missing baseline measures (except HbA1c, which was complete)
Inverse covariance weighting for creating index scores from multiple survey measures",Stratified by site and hba1c category,Stratified,"Nutrition, Metabolism & Lifestyle",45,120,
13,NCT02954068,"Does route matter? Impact of route of oxytocin administration on postpartum bleeding: A double-blind, randomized controlled trial",PloS one,https://doi.org/10.1371/journal.pone.0222981,2019,2,IM injection,4,480,"Proportion with Blood Loss ≥ 500

Mean Blood Loss",Continuous; Binary,No,"Categorical variables: Pearson χ² or Fisher’s exact tests

Continuous variables: Independent t-tests or Mann-Whitney U tests (depending on normality)",blocked randomization,Block,"Women's, Maternal & Child Health",23,44,
14,ChiCTR2000031834,"A telerehabilitation programme in post-discharge
COVID-19 patients (TERECO): a randomised
controlled trial",Thorax,https://thorax.bmj.com/content/77/7/697,2022,2,No Active Rehabilitation,Not Applicable,119,6-minute walking distance (6MWD) in meters at 6 weeks (post-treatment) and at follow-up (~28 weeks),Continuous,Yes,"For primary outcome and most secondary continuous outcomes: Constrained longitudinal data analysis (linear mixed effects model with equality constraint on baseline means), adjusted for center (fixed effect) with random intercept for participants

For mMRC-dyspnoea: Generalized linear model of the Poisson family with a log link, adjusted for center and using natural logarithm of the number of observed occasions as offset, with cluster robust standard errors","blocked randomization, stratified by hospital",Stratified Block,Rehabilitation & Physical Medicine,299,80,
15,KCT0002794,The effect of Snoezelen intervention on problem behaviors in children with cerebral palsy: A randomized controlled trial,Complementary Therapies in Medicine,https://doi.org/10.1016/j.ctim.2025.103139,2025,2,Conventional Only,Not Applicable,28,Change in Child Behavior Checklist (CBCL 1.5–5) scores (pre- vs. post-intervention),Continuous,Yes,"Within-group: Wilcoxon signed-rank test

Between-group: Mann-Whitney U test

Correlation: Spearman’s rank correlation (ρ)

Association: Linear regression (R² for GMFCS vs. change in emotional reactivity)",simple randomization,Simple,Rehabilitation & Physical Medicine,1,20,
16,NCT01573130,"Internet-delivered therapist-guided
physical activity for mild to moderate
depression: a randomized controlled trial",PeerJ,https://doi.org/10.7717/peerj.178,2013,2,Waitlist,Not Applicable,48,Reduction in depressive symptoms as measured by the Beck Depression Inventory-II (BDI-II),Continuous,Yes,Two-way mixed ANOVA (group × time),simple randomization,Simple,Mental & Behavioral Health,83,210,
17,ChiCTR2200058389,"The Effectiveness and Safety of Intensive Lipid-Lowering with
Different Rosuvastatin-Based Regimens in Patients at High
Cardiovascular Disease Risk: A Nonblind, Randomized, Controlled
Trial",Reviews in Cardiovascular Medicine,"
https://doi.org/10.31083/j.rcm2408222",2023,4,Statin,Not Applicable,294,Change in lipid levels (total cholesterol and LDL-C) from baseline at 24 weeks,Continuous,"Yes, partially. At 24 weeks LDL-C and TC were significantly lower in statin + PCSK9-i and combine3 vs statin or statin + ezetimibe (overall p < 0.05); combine3 and PCSK9 arms met superiority, while adding ezetimibe alone did not.","Within-group changes: Wilcoxon signed-rank test with rank-biserial correlation

Between-group comparisons: Kruskal–Wallis one-way ANOVA with Dunn’s post-hoc test

Target-achievement analysis: Multivariate logistic regression (adjusting for covariates)",simple randomization,Simple,Cardiovascular Medicine,3,28,
18,NCT02474992,The Kanyakla study: Randomized controlled trial of a microclinic social network intervention for promoting engagement and retention in HIV care in rural western Kenya,PloS one,https://doi.org/10.1371/journal.pone.0255945,2021,2,Standard Care,Not Applicable,295,"Time to disengagement: first ≥90-day absence from any HIV care visit in 12 months

Time in care: proportion of time adherent to appointments over 12 months",Continuous; Time-to-event,No,"Disengagement: Cox proportional hazards

Time in Care: linear regression with bootstrapping

Continuous outcomes (social support, stigma): linear regression with 10,000-replication bootstrap, adjusting for baseline.

Disclosure counts: Poisson regression, adjusting for baseline, with robust SE for clustering",stratified by site,Stratified,Infectious Diseases & Immunology,16,138,
19,NCT01707810,"Prospective Randomized Trial Comparing
Hepatic Venous Outflow and Renal Function
after Conventional versus Piggyback Liver
Transplantation",PLoS One,https://doi.org/10.1371/journal.pone.0129923,2015,2,Conventional,Not Applicable,32,"Hepatic venous outflow drainage, quantified by the free hepatic venous pressure (FHVP) to central venous pressure (CVP) gradient",Continuous,No,"Primary outcome: Student’s t-test / ANOVA (or Mann–Whitney if non-normal), plus χ² or Fisher’s exact for categorical comparisons

Secondary outcomes: Generalized Estimating Equations (GEE) for longitudinal serum creatinine and for binary severe ARF; Kaplan–Meier curves with log-rank test for survival analysis ",blocked randomization,Stratified Block,Surgery,28,511,
20,NCT02089477,"Effect of ecological momentary assessment,
goal-setting and personalized phone-calls on
adherence to interval walking training using
the InterWalk application among patients with
type 2 diabetes—A pilot randomized
controlled trial",PloS one,https://doi.org/10.1371/journal.pone.0208181,2019,2,IWT only,Not Applicable,37,Adherence to interval walking training (IWT) measured as total accumulated minutes of IWT during the 12-week intervention period,Continuous,No(ITT analysis),"Primary outcome: Mixed effects model with fixed effects for group, age, and sex
Secondary outcomes: Mixed linear models with same fixed factors as for primary outcome, additionally adjusted for respective baseline values",blocked randomization,Block,"Nutrition, Metabolism & Lifestyle",37,24,
21,NCT03519425,Computer-aided X-ray screening for tuberculosis and HIV testing among adults with cough in Malawi (the PROSPECT study): A randomised trial and cost-effectiveness analysis,PLoS medicine,https://doi.org/10.1371/journal.pmed.1003752,2021,3,SOC,Not Applicable,1462,Time in days (up to day 56) to TB treatment initiation,Time-to-event,"Yes

Compared to SOC, the HIV-TB screening arm significantly shortened time to TB treatment (HR 2.86; 95% CI 1.04–7.87; p = 0.04). The HIV-only arm did not differ significantly (HR 1.51; 95% CI 0.49–4.62) ","Primary outcome: log-rank test and unadjusted Cox proportional-hazards models

Secondary binary outcomes: binomial regression with log link (risk ratios)
",simple randomization,Simple,Infectious Diseases & Immunology,67,25,
22,,"Development and First Phase Evaluation of a
Maternity Leave Educational Tool for
Pregnant, Working Women in California",Plos one,https://doi.org/10.1371/journal.pone.01294721,2015,2,Control,Not Applicable,146,Proportion of women taking more than one week of prenatal leave (among those delivering ≥37 weeks),Binary,No,Descriptive comparisons used t-tests for continuous outcomes and chi-square or Fisher’s exact tests for categorical outcomes,simple randomization,Simple,"Women's, Maternal & Child Health",8,86,
23,UMIN000008339,"Can recombinant human
thrombomodulin increase survival
among patients with severe septicinduced disseminated intravascular
coagulation: a single-centre, open-label,
randomised controlled trial",BMJ open,https://bmjopen.bmj.com/content/6/12/e012850,2016,2,No rhTM,Not Applicable,92,28-day and 90-day survival rates,Time-to-event,No,"Kaplan–Meier curves with log-rank tests

Mann-Whitney test

Fisher’s exact test",simple randomization,Simple,"Emergency, Pulmonary & Critical Care",45,57,
24,NCT02290054,"Auriculotherapy in the prevention of postoperative urinary retention in patients with thoracotomy and thoracic epidural analgesia
A randomized, double-blinded trial",Medicine,http://dx.doi.org/10.1097/MD.0000000000015958,2019,2,Sham Comparator,Not Applicable,50,Requirement for bladder catheterization during the day and the first night following surgery,Binary,Yes,"Primary outcome: Fisher exact test for proportion comparison; Kaplan–Meier survival analysis with log-rank test for time to catheterization.

Secondary analyses: Univariate tests including Chi-square/Fisher exact for categorical variables, Student’s t-test or Mann–Whitney for continuous variables, Hodges–Lehmann estimator and Cohen’s d for effect sizes, and Mann–Whitney for anxiety/comfort scores.",blocked randomization,Block,Anesthesiology & Pain Medicine,10,349,
25,NCT04451096,"Multi-strain probiotics (Hexbio) containing
MCP BCMC strains improved constipation and
gut motility in Parkinson’s disease: A
randomised controlled trial",Plos one,https://doi.org/10.1371/journal.pone.0244680,2020,2,Placebo,3,55,"Change in constipation symptoms assessed by the 9-item Garrigues Questionnaire (GQ)

Bowel opening frequency (BOF) per week (mean weekly bowel movements)

Whole gut transit time (GTT) in hours",Continuous; Count; Ordinal,Yes,"Between-group comparisons: univariate tests (t-test or Mann–Whitney U for continuous/count data; χ² or Fisher’s exact for categorical outcomes)

Regression analyses: generalized linear models—ordinal logistic regression for GQ items, binary logistic for BOF categories, linear regression for BM/week and GTT

Within-group analyses: paired t-tests or Wilcoxon signed-rank tests",blocked randomization,Block,Neurology & Neurorehabilitation,174,70,
26,NCT02677675,"Mobile phone reminders and peer counseling
improve adherence and treatment outcomes
of patients on ART in Malaysia: A randomized
clinical trial",PloS one,https://doi.org/10.1371/journal.pone.0177698,2017,2,Standard Care,Not Applicable,242,"Adherence (improved scheduled clinic attendance and medication adherence self-report), attendance",Continuous; Binary; Categorical,Yes,"Parametric tests: Student’s t-test, two-way repeated-measures ANOVA for adherence, CD4, viral load, and weight

Nonparametric tests: Chi-square/Fisher’s exact tests for categorical comparisons; Friedman’s ANOVA for within-group non-normal data

Multivariate models: mixed repeated-measures ANCOVA adjusting for baseline covariates (age, ethnicity, education, income)",simple randomization,Simple,Infectious Diseases & Immunology,121,144,
27,NCT01891838,"Impact of the modality of mechanical ventilation
on bleeding during pituitary surgery
A single blinded randomized trial",Medicine,http://dx.doi.org/10.1097/MD.0000000000017254,2019,2,VCV,Not Applicable,101,"Intraoperative bleeding during transsphenoidal pituitary surgery, scored using a 7-level bleeding scale.",Ordinal,No,"Primary outcome: ordinal logistic regression (proportional cumulative odds)

Secondary outcomes: Student’s t-test or Mann–Whitney for continuous variables; Chi-square or Fisher’s exact for categorical variables",blocked randomization,Block,Anesthesiology & Pain Medicine,8,124,
28,NCT02981251,Effectiveness of community-based health education and home support program to reduce blood pressure among patients with uncontrolled hypertension in Nepal: A cluster-randomized trial,PloS one,https://doi.org/10.1371/journal.pone.0258406,2021,2,Usual Care,Not Applicable,120,Proportion of participants with controlled systolic blood pressure (SBP < 140 mmHg) at six months,Binary,Yes,"Comparisons: independent t-tests for continuous variables; χ² or Fisher’s exact for categorical

Primary/secondary binary outcomes: binary logistic regression (adjusted for covariates & clustering)

Knowledge score: linear regression of follow-up score on baseline score and intervention",cluster randomization,Stratified Rerandomization,Cardiovascular Medicine,38,49,
29,NCT01802385,"Adjunctive sertraline in HIV-associated cryptococcal meningitis:
a randomised, placebo-controlled, double-blind phase 3 trial",The Lancet Infectious Diseases,10.1016/S1473-3099(19)30127-6,2018,2,Placebo,3,460,18-week all-cause mortality (survival),Time-to-event,No,"Primary: Kaplan-Meier survival curves and Cox proportional hazards regression (intention-to-treat) 29

Secondary:

Linear regression and mixed-effects regression (random intercept) for early fungicidal activity

Cumulative incidence functions (competing risks), logistic regression, Fisher’s exact tests, general linear models, and Wilcoxon rank-sum tests for other endpoints","blocked randomization, stratified by site and ART status",Stratified Block,Infectious Diseases & Immunology,132,40,
30,NCT03899090,"A randomized controlled safety and feasibility
trial of floatation-REST in anxious and
depressed individuals",MedRxiv,https://doi.org/10.1371/journal.pone.0286899,2023,3,"	
Chair-REST",Not Applicable,75,"Feasibility, assessed by adherence to six sessions of the assigned intervention (target ≥ 80%).",Continuous,"Adherence met the ≥80% feasibility threshold for Pool-REST (85%) and Pool-REST Preferred (89%).

Chair-REST did not meet the threshold (74%).","Feasibility (credibility/expectancy): One-way ANOVA

Tolerability (dropout): Kaplan–Meier survival analysis with log-rank tests

Session duration & event ratings: Linear mixed‐effects models (REML, AR1 covariance), with fixed effects of condition, visit (and event for safety), and their interactions, random intercepts for subject ID",simple randomization,Simple,Mental & Behavioral Health,3,574,
31,,"Influenza Hemagglutination-inhibition Antibody Titer as a
Mediator of Vaccine-induced Protection for Influenza B",Clinical Infectious Diseases,https://doi.org/10.1093/cid/ciy759,2019,2,Placebo,Not Applicable,796,Time to laboratory-confirmed influenza B/Victoria infection,Time-to-event,Yes,"Cox models for total, direct, and indirect (mediated) effects.

Logistic regression to create inverse-odds-ratio weights for mediation.

Bootstrap (10 000 resamples) for CIs. ",simple randomization,Simple,Infectious Diseases & Immunology,83,480,
32,ACTRN12617001136392,"Nasal ventilation and rapid maxillary expansion
(RME): a randomized trial",European Journal of Orthodontics,doi:10.1093/ejo/cjab001,2021,3,Hyrax,Not Applicable,57,"pressure, velocity",Continuous,"Partially, 
No statistically significant differences among groups in nasal pressure or velocity (P = 0.17, P = 0.08).

However, Hybrid-Hyrax showed a trend of greater improvement and was statistically superior to Hyrax in adjusted regressions for maximum velocity (P = 0.03) and nasal obstruction resolution (P = 0.04).","Linear regression (with transformed outcomes) for continuous variables

Fisher’s exact test for categorical variables (e.g., obstruction resolution)

Adjusted multivariable regression controlling for confounders

Multivariable regularized logistic regression (penalized) for predicting nasal obstruction resolution",simple randomization,Simple,Dentistry & Oral Health,33,119,
33,,"Reducing therapeutic misconception: A
randomized intervention trial in hypothetical
clinical trials",PLoS One,https://doi.org/10.1371/journal.pone.0184224,2017,2,Control,Not Applicable,154,"Therapeutic misconception, measured by the 10-item Therapeutic Misconception Scale (score range 10–50).",Continuous,Yes,"Unadjusted two-tailed t-test for TM score comparison

Chi-square test for willingness to participate

Factorial two-way ANOVAs (group × baseline characteristics) to assess main and interaction effects, including education ",stratified by disease group,Stratified,"General Medicine, Health Services & Education",51,28,
34,NCT01214473,A randomized synbiotic trial to prevent sepsis among infants in rural India,Nature,https://www.nature.com/articles/nature23480,2017,2,Placebo,Not Applicable,4556,Composite of death or neonatal sepsis (culture-positive/negative sepsis or lower respiratory tract infection) within 60 days.,Binary,Yes,"Primary and secondary binary outcomes: Chi-square or Fisher’s exact tests to compare proportions; risk ratios with 95% CIs

Weight gain comparison: Two-sample t-test (Satterthwaite) ",blocked randomization,Block,"Women's, Maternal & Child Health",591,48,
35,NCT01243554,"Exercise Training and Weight Gain in Obese
Pregnant Women: A Randomized Controlled
Trial (ETIP Trial)",PLoS medicine,10.1371/journal.pmed.1002079,2016,2,Control,Not Applicable,91,Gestational weight gain (GWG) from baseline (week 12–18) to delivery,Continuous,No,"Continuous outcomes: linear mixed models (time × treatment fixed; participant random)

Binary outcomes: mixed-effects logistic regression
– Analyses by intention-to-treat; per-protocol sensitivity analyses also performed ",blocked randomization,Block,"Women's, Maternal & Child Health",195,294,
36,NCT03382353,"Targeting brain health in subjective cognitive decline: insights
from a multidomain randomized controlled trial",Aging Clinical and Experimental Research,https://doi.org/10.1007/s40520-025-03062-z,2025,3,ACI,Not Applicable,114,"One-year change in cognitive function:

Rey Auditory Verbal Learning Test (RAVLT)

z-standardized composite scores for memory, attention-executive, and visuospatial domains",Continuous,"Memory composite, RAVLT total, visuospatial: No

Attention-executive: Yes (MI vs ACI)","Primary & secondary: Complete-case ANCOVA (post-intervention measure ~ group + baseline + age + sex + education), with Bonferroni-adjusted pairwise t-tests 36.

Functional connectivity: MANCOVAN followed by voxel-wise univariate tests (FDR-corrected).

Exploratory brain–behavior: Linear mixed-effects models.","Blocked randomization,
 stratified by site",Stratified Block,Neurology & Neurorehabilitation,4,295,
37,NCT00820612,"A Randomized Trial of Rectal Indomethacin
to Prevent Post-ERCP Pancreatitis",New England Journal of Medicine,10.1056/NEJMoa1111103,2012,2,Placebo,4,602,Incidence of post-ERCP pancreatitis,Binary,Yes,"Primary & moderate-to-severe outcomes: Two-tailed Fisher’s exact test (α=0.041, O’Brien–Fleming spending) 37

Hospital stay: Kruskal–Wallis rank test 37

Subgroup interactions: Multiple logistic regression with interaction terms ",stratified by center,Stratified,Gastroenterology & Hepatology,961,32,
38,ATCG 175,A trial comparing nucleoside monotherapy with combination therapy in HIV-infected adults with CD4 cell counts from 200 to 500 per cubic millimeter. AIDS Clinical Trials Group Study 175 Study Team,New England Journal of Medicine,10.1056/NEJM199610103351501,1996,4,ZDV,Not Applicable,2139,"Time to a composite of:

≥ 50 % decline in CD4 count

Development of AIDS (CDC-defined)

Death",Time-to-event,Yes,"Kaplan–Meier estimates + log-rank tests

Cox proportional-hazards models stratified on prior therapy (with subgroup–treatment interaction)

ANOVA and two-sample t-tests for CD4 count changes","stratified by prior antiretroviral exposure, block",Stratified Block,Infectious Diseases & Immunology,1512,400,
39,HELP,Linking alcohol- and drug-dependent adults to primary medical care: a randomized controlled trial of a multi-disciplinary health intervention in a detoxification unit,Addiction,doi/10.1046/j.1360-0443.2003.00328.x,2003,2,Usual Care,Not Applicable,470,Time to first self-reported linkage (≥1 visit) to a primary care MD/NP/PA within 12 months,Time-to-event,Yes,"Primary: log-rank test; Cox proportional-hazards model for HR

Secondary: generalized linear mixed models (PROC MIXED with unstructured covariance) for continuous outcomes; Wilcoxon rank-sum for utilization rates","blocked randomization, stratified by primary substance (alcohol vs drugs)",Stratified Block,Mental & Behavioral Health,124,37,
40,laryngoscope,"A Randomized Comparison Between the Pentax AWS
Video Laryngoscope and the Macintosh Laryngoscope
in Morbidly Obese Patients",Anesthesia & Analgesia,10.1213/ANE.0b013e31822cf47d,2011,2,Macintosh,Not Applicable,99,"Time to successful tracheal intubation—measured from blade insertion to capnographic confirmation, censored at 100 seconds if exceeded",Time-to-event,No,"Primary outcome: Cox proportional‐hazards regression (adjusted for ASA and Mallampati), Kaplan–Meier curves with 95% confidence bands

Secondary outcomes:

Wilcoxon rank‐sum test for number of attempts

Fisher’s exact test or logistic regression for binary outcomes (first‐attempt and overall success, bleeding, glottic view)

Analysis of covariance for ease‐of‐intubation score

Proportional‐odds logistic regression for sore‐throat severity",blocked randomization,Block,Anesthesiology & Pain Medicine,58,1462,
41,NCT01444703,"A Randomized, Double-Blind Comparison
of Licorice Versus Sugar-Water Gargle for
Prevention of Postoperative Sore Throat and
Postextubation Coughing",Anesthesia & Analgesia,10.1213/ANE.0b013e318299a650,2013,2,Sugar,Not Applicable,235,"Incidence of postoperative sore throat at rest, assessed across the first 4 postextubation hours (at 0.5, 1.5, and 4 h)",Binary,Yes,"Primary outcome: Modified Mantel–Haenszel test adjusting for within-patient correlation

Pain‐score trajectories: Linear mixed-effects model with autoregressive covariance

Coughing (ordinal): GEE with cumulative-logit link

Individual binary comparisons: χ² tests (with Bonferroni correction) ",simple randomization,Simple,Anesthesiology & Pain Medicine,71,146,
42,supraclavicular,"Combined Versus Sequential Injection of Mepivacaine
and Ropivacaine for Supraclavicular Nerve Blocks",Regional Anesthesia & Pain Medicine,10.1097/AAP.0b013e31820d4235,2011,2,Combined,Not Applicable,103,"Time (minutes) from completion of injection to onset of sensory block in all four nerve distributions (median, ulnar, radial, musculocutaneous)",Time-to-event,No,"Primary: Kaplan–Meier with log-rank test (stratified by sex) and multivariable Cox regression adjusting for sex; sensitivity via Wilcoxon test 42

Secondary:

Time-to-event outcomes: Kaplan–Meier/log-rank and Cox (as above) 42

Pain scores & opioid use: ANCOVA on VRS and log-transformed opioid consumption adjusting for sex ",blocked randomization,Block,Anesthesiology & Pain Medicine,14,92,
43,NCT00066131,"Treatment of Periodontal Disease
and the Risk of Preterm Birth",New England Journal of Medicine,10.1056/NEJMoa062249,2006,2,Control,Not Applicable,823,Gestational age at the end of pregnancy,Time-to-event,No,"Primary: Kaplan–Meier curves and log-rank test stratified by center; Cox proportional-hazards regression

Competing-risks: live birth vs spontaneous abortion/stillbirth

Secondary: t-tests (birth weight), Fisher’s exact or chi-square (proportions), Wilcoxon signed-rank (Apgar), linear mixed models for periodontal measures ","blocked randomization, stratify by center",Stratified Block,"Women's, Maternal & Child Health",797,50,
44,NCT03057197,"Influence of needle-insertion depth on epidural
spread and clinical outcomes in caudal epidural
injections: a randomized clinical trial",Journal of Pain Research,10.2147/JPR.S182227,2018,2,Conventional,Not Applicable,127,Success rate of epidural spread without intravascular uptake (binary per patient),Binary,Yes,"Primary outcome: Chi-square test

Continuous outcomes (pain scores): Student’s t-test

Ordinal outcome (PGIC): Mann–Whitney U test

Normality check: Shapiro–Wilk test",simple randomization,Simple,Anesthesiology & Pain Medicine,8,55,
45,NCT04178824,"Impact of a randomized controlled trial of
discounts on fruits, vegetables, and
noncaloric beverages in NYC supermarkets on
food intake and health risk factors",Plos one,10.1371/journal.pone.0291770,2023,3,0% Discount,Not Applicable,64,"Change in grams per day of:

Fruit intake

Vegetable intake

Non‐caloric beverage intake (diet soda, bottled water, seltzer)",Continuous,"30%: Yes

15%: No","Multiple linear regression of mid‐intervention values on group, adjusting for baseline and COVID-19 covariate; two‐tailed P<0.05 for significance; Cohen’s f² for effect sizes",stratified by store and sex,Stratified,"Nutrition, Metabolism & Lifestyle",3,242,
